26596278-019,50550785-01,TOP ASSY ERCP SCOPE,4.735,6.785,3.455,0.805,6.925,7.08,7.815,4.135,5.585,2.65,PASS,gallarb
26596278-020,50550785-01,TOP ASSY ERCP SCOPE,3.77,8.215,1.43,0.885,7.53,5.39,7.435,2.285,5.915,5.65,FAIL,gallarb
26596278-021,50550785-01,TOP ASSY ERCP SCOPE,3.435,4.235,1.435,0.795,4.305,3.64,6.945,2.835,6.035,3.425,PASS,gallarb
26596278-022,50550785-01,TOP ASSY ERCP SCOPE,4.995,8.23,2.07,0.52,5.14,3.07,8.31,3.33,5.005,2.745,PASS,gallarb
26596278-023,50550785-01,TOP ASSY ERCP SCOPE,3.015,4.675,1.28,0.985,4.5,8.12,7.7,2.295,6.78,3.455,PASS,gallarb
26596278-024,50550785-01,TOP ASSY ERCP SCOPE,4.13,6.845,1.515,0.475,5.6,3.19,7.24,3.325,8.99,2.835,PASS,gallarb
26596278-025,50550785-01,TOP ASSY ERCP SCOPE,3.45,4.245,1.205,0.66,4.54,4.035,6.685,2.095,5.42,3.45,PASS,gallarb
26596278-026,50550785-01,TOP ASSY ERCP SCOPE,4.26,7,1.66,0.625,4.54,2.585,7.3,4.205,5.445,3.03,PASS,gallarb
26596278-027,50550785-01,TOP ASSY ERCP SCOPE,4.5,5.72,2.585,0.72,6.11,2.845,6.275,4.51,6.965,3.85,PASS,chavj11
26596278-028,50550785-01,TOP ASSY ERCP SCOPE,3.12,4.21,1.055,0.69,4.725,4.455,8.06,5.76,5.06,3.745,REWORK,chavj11
26596278-029,50550785-01,TOP ASSY ERCP SCOPE,4.19,5.46,1.335,0.72,4.76,4.12,7.6,4.17,4.38,2.64,PASS,chavj11
26596278-030,50550785-01,TOP ASSY ERCP SCOPE,3.565,6.78,5.64,0.455,5.53,6.005,8.41,1.945,5.67,3.455,FAIL,chavj11
26596278-031,50550785-01,TOP ASSY ERCP SCOPE,2.13,4.065,0.85,1.235,5.42,3.465,9.21,4.035,4.355,3.455,FAIL,chavj11
26596278-033,50550785-01,TOP ASSY ERCP SCOPE,4.93,5.935,3.95,0.775,4.78,4.34,7.865,3.31,5.76,3.18,PASS,chavj11
26596278-034,50550785-01,TOP ASSY ERCP SCOPE,4.675,6.545,0.97,0.38,5.385,3.27,8.865,1.22,8.79,3.125,PASS,chavj11
26596278-035,50550785-01,TOP ASSY ERCP SCOPE,4.875,6.77,1.55,0.7,5.56,7.45,8.49,1.825,7.76,4.565,PASS,chavj11
26596278-036,50550785-01,TOP ASSY ERCP SCOPE,4.19,5.75,3.19,0.61,5.94,4.8,7.23,3.63,4.655,2.145,PASS,chavj11
